[0607/204659.323:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0607/214404.222:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0608/080840.996:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080846.009:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080851.025:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080856.029:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080901.045:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080906.054:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080911.084:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080916.087:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080921.101:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080926.117:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080931.135:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080936.149:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080941.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080946.171:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080951.187:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/080956.193:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081001.202:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081006.214:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081011.229:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081016.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081021.267:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081026.269:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081031.282:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081036.295:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081041.301:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081046.316:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081051.332:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081056.353:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081101.367:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081106.379:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081111.398:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081116.409:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081121.422:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081126.435:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081131.442:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081136.453:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081141.469:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081146.478:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081151.496:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081156.505:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081201.515:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081206.535:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081211.539:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081216.554:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081221.568:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081226.574:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081231.586:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081236.602:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081241.606:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081246.615:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081251.627:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081256.637:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081301.654:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081306.675:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081311.694:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081316.701:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081321.717:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081326.718:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081331.730:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081336.733:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081341.749:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081346.765:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081351.779:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081356.782:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081401.792:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081406.798:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0608/081411.807:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
